row_index,original_lang,original_script,original_sentence,generated_first_n_tokens_sentence,detected_lang,detected_script,is_english
12,ace,Arab,لم اوجو ڤالم، زماڤ متݢه سباݢو ڽڠ ڤتيمڠ، ڽڠ معناجيه اوق علمون ݢڠوي ڽن سباݢو اساي کى ݢبنديڠ لهى ماچم چار ڤأوبت ڽڠ لاءين نيبق ڽن.,"ترجمته باللغة العربية:

لم يُخلق العالم في لحظة، ولا يمكن",ara,UNKNOWN,False
13,ace,Arab,سنم ا.س. دوکوڠ سورت کوميتى اوليمڤيادى امريکا سريکت ڠون تريموڠ هاي ڽڠ بيت جڤرلى لى کلوارݢ اوليمڤيادى کى ڤروموسي موکيم ڽڠ امن کى بندوم اتليت کامو.,سنم ا.س. دوکو�� (Suneel Duggal) یک ور,urd,UNKNOWN,False
14,ace,Arab,کامو ڤيه تريموڠ يڠ جڤوݢه دري يو.ايس.او.سي. بهوا هاي ڽڠ ڤنتيڠ دري اتليت ڠون کلوب کامو، ڠون اولهراݢ اوقڽن، جوت لوبيه ݢت ݢڤتيمڠ ڠون ݢرق او کى دڠون ڤروبهن ڽڠ ممعنا لم اورݢانيساسي کامو، نيبق ديسيرتيفيکاسي.,کامو (Camou) یا به زبان علمی‌تر، *Trimog (Trim,fas,UNKNOWN,False
15,ace,Arab,سينم ا.س. ݢدوکوڠ ڤڽليديقن اينديڤندن ڽڠ جوت ݢڤلومه ڠون ترڠ کيبن برت جهت کى اوکو ڽڠ ݢڤجلايه ڠون بهو تهات لى اوق ڽڠ سلامت دري لاري ناسر جوت هن جتوڤو کا تريب تهات ڠون جتريموڠ مباݢو ڤروبهن ڽڠ ڤرلى ڠون بتوي.,"ترجمه متن شما به فارسی به این شکل می‌شود:

""سینما، هنر",fas,UNKNOWN,False
16,ace,Arab,سينم أ.س. ڠون يو.ايس.او.سي نا توجوان ڽڠ سابن — ڤݢوت اولهراݢ سينم، ڠون لاءينجيه، بأمن موڠکين کى اوق اتليت کى بسمڤو او لومڤو اوقڽن دي موکيم ڽڠ امن، ڤوسيتيف ڠون مداي.,"ترجمته إلى العربية:

""سينم أ.س. ��ون يو",ara,UNKNOWN,False
17,ace,Arab,لم ماس تهون ١۹٦۰-ان، برزينس‌کي کرجا کى جون ف. کينيدي سباݢو ڤنصيحة ݢوبڽن ڠون الهوه ڽن بق ادمينيستراسي ليندون ب. جونسون.,در سال ۱۹۶۰، جان اف. کندی، رئیس‌جمهور وقت ایالات متحده,fas,UNKNOWN,False
18,ace,Arab,لم ڤنيليه ١۹٧٦، ݢوبڽن ݢبي نصيحة بق کرتير تنتڠ کبيجقن لوا نڠرو، الهوه ڽن متوݢه سباݢو ڤنصيحة کأمنن نسيونل (اين.ايس.اي.) ١۹٧٧-١۹۸١، ݢلنتو هينري کيسينجر.,في عام 1976، قدم هنري كيسينجر، الذي كان يشغل منصب,ara,UNKNOWN,False
19,ace,Arab,سباݢو اين.ايس.اي.، ݢوبڽن ݢبنتو کرتر لم ݢأوروه اوروسن دوڽا ڠون ديڤلوماتيس، لاݢى کسڤکتن کامڤ دايۏيد، ١٩٧٨؛ نورماليساسي هوبوڠن ا.س.-چينا لم اخى ١٩٧٠-ان؛ ريۏولوسي ايران، ڽڠ ڤسبب کريسيس دروڤ اورڠ دي ايران،١٩٧٩؛ ڠون اينۏاسي سوۏيت دي افݢانيستن، ١٩٧٩.,"این متن به زبان فارسی به این شکل ترجمه می‌شود:

""سبا�",fas,UNKNOWN,False
20,ace,Arab,فيلم، ڽڠ ݢڤلومه راين ݢوسليڠ ڠون ايما ستون، تريموڠ نوميناسي دي بندوم کاتيݢوري اوتام.,"فيلم ""���� ����لومه راين",ara,UNKNOWN,False
21,ace,Arab,ݢوسليڠ ڠون ستون ماسيڠ-ماسيڠ تريموڠ نوميناسي کى اکتور ڠون اکتريس ڽڠ ڤاليڠ ݢيت.,"The text you've provided appears to be in a form of Malay with some spelling variations, likely due",eng,UNKNOWN,True
22,ace,Arab,نوميناسي لاءين تماسوق ݢمبا ڽڠ ڤاليڠ ݢيت، سوترادارا، سينيماتوݢرافي، ديساين کوستوم، ايديت فيلم، سکور ڽڠ اصلي، ديساين ڤرودوکسي، ايديت سو، جمڤو سو ڠون سکيناريو ڽڠ اصلي.,النص الذي قدمته يبدو أنه قائمة مهام أو مجالات خبرة تتعلق بالصن,ara,UNKNOWN,False
23,ace,Arab,دوا بوه لاݢو دري فيلم ڽن، اوديشين (دي فول‌س هو دريم) ڠون سيتي اوف ستارس، تريموڠ نوميناسي کى لاݢو اصلي ڽڠ ڤاليڠ ݢيت. ستوديو لايون‌سݢايت تريموڠ ۲٦ نوميناسي — لوبيه لى دري ستوديو ڽڠ لاءين.,"به نظر می‌رسد که شما در مورد فیلمی صحبت می‌کنید به نام ""د",fas,UNKNOWN,False
24,ace,Arab,مالم الوحد، ڤريسيدن امريکا سريکت دونل‌د تروم‌ڤ، لم سابوه ڤرڽاتاءن ڽڠ ݢڤسمڤو لى سيکريتاريس ڤير‌س، ݢعمومکن تنترا ا.س. اکن ݢڤتيڠݢاي سورياه.,به نظر می‌رسد که شما در حال ترجمه یک متن از زبان فارسی به انگلیسی هستید.,fas,UNKNOWN,False
0,ace,Latn,"""Kamöe jinoe na tikoih umu 4 buleuen nyang hana diabetes nyang awaijih saket diabetes,"" geutamah le gobnyan.","Terjemahan dari kalimat ""Kamöe jinoe na tikoih umu 4 bule",ind,UNKNOWN,False
1,ace,Latn,"Dr. Ehud Ur, profesor kedokteran bak Universitas Dalhousie di Halifax, Nova Scotia ngôn keupala divisi klinis ngôn ilmiah dari Asosiasi Diabetes Kanada geupeuingat bahwa penelitian nyoe mantöng lam masa nyang keuphôn.","Dr. Ehud Ur, profesor kedokteran di Universitas Dalhousie di Halifax, Nova Scotia, telah menyatakan",ind,UNKNOWN,False
2,ace,Latn,"Lagèe ladom ureuëng caröng laenjih, gobnyan ragu peukeuh peunyaket diabetes jeut puléh, sabab nyang jiteumèe nyoe hana meusangkot deungôn ureuëng nyang ka meupeunyaket diabetes jeunèh 1.",Diabetes adalah kondisi kronis yang memengaruhi cara tubuh memproses gula (glukosa),ind,UNKNOWN,False
3,ace,Latn,"Bak uroe Senin, Sara Danius, sekretaris teutap Komite Nobel Sastra bak Akademi Swedia, geuumumkan ngôn bak mandum ureuëng lam masa program radio di Radio Sveriges di Swedia komite nyan, han jeuet meusambông deungôn Bob Dylan ngôn lansông teuntang keumenangan Hadiah Nobel 2016 lam Sastra, ka geupeutinggai usaha keu meusambông deungôn gobnyan.","Pada Senin, Sara Danius, sekretaris Komite Nobel Sastra dari Akademi Swedia di Swedia, mengumumkan pilihan",ind,UNKNOWN,False
4,ace,Latn,"Danius kheun, ""Jinoe kamöe hana meubuet sapeue. Lôn ka lôn talipun ngön lôn kirém email keu kolaborator gobnyan nyan paléng rab ngôn lôn teurimöng balah nyang paléng ruméh. Jinoe, nyan ka sep.","Terjemahan dari teks yang Anda berikan dalam bahasa Indonesia adalah:

""Danius berkata,",ind,UNKNOWN,False
5,ace,Latn,"Sigohlom gobnyan, CEO Ring, Jamie Siminoff, geukheun keu perusahaan phôn watèe bel pinto gobnyan han jeuet meudeungö dari keudèe gobnyan lam garasi gobnyan.","Jamie Siminoff, CEO dari Ring (sebuah perusahaan teknologi yang terkenal dengan produk phôn watè",ind,UNKNOWN,False
6,ace,Latn,"Gobnyan peugöt bel pinto WiFi, jikheun lé gobnyan.",Sepertinya Anda mencoba meminta bantuan tentang cara mengatur atau memperbaiki koneksi WiFi. Berikut adalah,ind,UNKNOWN,False
7,ace,Latn,Siminoff kheun hasé meukat geuék ‘oh lheuh piasan gobnyan bak thôn 2013 lam episode Shark Tank lam pat panel acara tula bri dana keu startup.,Siminoff kheun hasé meukat geuék 'oh lheuh piasan gobnyan,ind,UNKNOWN,False
8,ace,Latn,"Bak akhée 2017, Siminoff teuka bak saluran televisi beulanja QVC.","Ya, pada tahun 2017, Simon Siminoff menjadi terkenal karena perannya sebagai pembawa acara",ind,UNKNOWN,False
9,ace,Latn,"Ring geuseuleuso cit gugatan ngôn peurusahaan keamanan lawan, ADT Corporation.","ADT Corporation, một trong những công ty an ninh hàng đầu thế giới, đã phải đối mặt với",vie,UNKNOWN,False
10,ace,Latn,"Adakpih sabôh vaksin eksperimental deuhjih jeuet keu peukureuëng masa udép Ebola, sampöe jinoe, hana ubat nyang beutoi leumah jeut keu peuubat infeksi nyang na.",Adakpih sabôh (vaksin eksperimental) deuhjih jeuet (d,slv,UNKNOWN,False
11,ace,Latn,"Sabôh koktail antibodi, ZMapp, nyang awaijih peuleumah harapan lam lapangan nyan, teutapih studi formal jipeuleumah bahwa gunajih leubéh ubit nibak nyang tamita lam tatham mawot.","Sabôh koktail antibodi, seperti ZMapp, telah menunjukkan potensi yang menjanjikan",ind,UNKNOWN,False
12,ace,Latn,"Lam ujoe PALM, ZMapp meutugah sebagoe nyang peutimang, nyang maknajih awak ilmuwan geungui nyan sebagoe asai keu geubandéng lhèe macam cara peuubat nyang laen nibak nyan.",Palm (PALM) dan ZMapp adalah dua pendekatan terapi yang berbeda namun berpot,ind,UNKNOWN,False
13,ace,Latn,Seunam AS dukong surat Komite Olimpiade Amerika Serikat ngôn teurimöng hai nyang bit jipeureulee le keuluwarga Olimpiade keu promosi mukim nyang aman keu bandum atlet kamöe.,Seunam AS (American Sports Committee) telah mengeluarkan surat dari Komite Olimpiade Amerika Serikat (USOC,ind,UNKNOWN,False
14,ace,Latn,"Kamöe pih teurimöng yang jipeugah dari USOC bahwa hai nyang peunténg dari atlet ngôn klub kamöe, ngôn olahraga awaknyan, jeut leubéh get geupeutimang ngôn grak u keue deungôn perobahan nyang meumakna lam organisasi kamöe, nibak desertifikasi.",Teks yang Anda berikan tampaknya membahas tentang pentingnya dukungan dan sumber daya dari USOC (kemungkinan,ind,UNKNOWN,False
15,ace,Latn,Seunam AS geudukong penyelidikan independen nyang jeuet geupeuleumah ngôn trang kiban brat jeuheut keu ukoenyang geupeujeulaih ngôn beuheu that le awak nyang seulamat dari Larry Nassar jeut han jitupeue ka treb that ngôn jiteurimöng meubagoe perubahan nyang peureulee ngôn beutoi.,Seunam (atau pernyataan) tersebut menyerukan penyelidikan independen yang menyeluruh untuk mengeksplor,ind,UNKNOWN,False
16,ace,Latn,"Seunam USA ngön USOC na tujuan nyang saban — peugöt olahraga seunam, ngön laenjih, beuaman mungken keu awak atlet keu beu sampöe u lumpöe awaknyan di mukim nyang aman, positif ngön meudaya.","Seunam (atau olahraga air) di Amerika Serikat, yang diatur oleh Komite Olimpiade Amerika Serikat (",ind,UNKNOWN,False
17,ace,Latn,"Lam masa thôn 1960-an, Brzezinski keureuja keu John F. Kennedy sebagoe penasihat gobnyan ngôn alheuh nyan bak administrasi Lyndon B. Johnson.","Lam masa thôn 1960-an, Zbigniew Brzezinski keureuja (atau menjadi",ind,UNKNOWN,False
18,ace,Latn,"Lam peunileh 1976,gobnyan geubi nasihat bak Carter teuntang kebijakan luwa nanggroe, alheuh nyan meutugah sebagoe Penasihat Keuamanan Nasional (NSA) 1977-1981, geulanto Henry Kissinger.","Lam peunileh 1976, gobnyan geubi nasihat bak Carter te",ind,UNKNOWN,False
19,ace,Latn,"Sebagoe NSA, gobnyan geubantu Carter lam geuuroh urusan donya ngôn diplomatis, lagèe Kesepakatan Camp David, 1978; normalisasi hubungan AS-Cina lam akhée 1970-an; Revolusi Iran, nyang peuseubab krisis drop ureuëng di Iran, 1979; ngôn invasi Soviet di Afghanistan, 1979.","Teks yang Anda berikan tampaknya merangkum beberapa peristiwa penting dalam karier diplomatik Jimmy Carter, Presiden Amerika",ind,UNKNOWN,False
20,ace,Latn,"Film, nyang geupeleumah Ryan Gosling ngôn Emma Stone, teurimöng nominasi di bandum kategori utama.","Film yang menampilkan Ryan Gosling dan Emma Stone, yang kemungkinan Anda maksudkan adalah *La La Land",ind,UNKNOWN,False
21,ace,Latn,Gosling ngön Stone maséng-maséng teurimöng nominasi keu Aktor ngön Aktris nyang paléng get.,"Ya, Ryan Gosling dan Emma Stone telah menerima banyak nominasi untuk peran mereka masing-masing sebagai aktor dan",ind,UNKNOWN,False
22,ace,Latn,"Nominasi laen teumasok Gamba Nyang Paléng Get, Sutradara, Sinematografi, Desain Kostum, Edit Film, Skor Nyang Aseuli, Desain Produksi, Edit Su, Jampu Su ngôn Skenario Nyang Aseuli.",Sepertinya Anda sedang membahas berbagai kategori nominasi untuk sebuah produksi film atau proyek kreatif. Berikut,ind,UNKNOWN,False
23,ace,Latn,"Dua bôh lagu dari film nyan, Audition (The Fools Who Dream) ngôn City of Stars, teurimöng nominasi keu lagu asli nyang paléng get. Studio Lionsgate teurimöng 26 nominasi — leubéh le dari studio nyang laen.","Dari film *Audition (The Fools Who Dream)*, dua lagu berjudul ""City of Stars""",eng,UNKNOWN,True
24,ace,Latn,"Malam aleuhat, Presiden Amerika Serikat Donald Trump, lam sabôh pernyataan nyang geupeusampöe lésekretaris pers, geumumkan teuntra AS akan geupeutinggai Suriah.","Pada malam tanggal (waktu lokal), Presiden Amerika Serikat Donald Trump mengeluarkan pernyataan melalui sekretaris persnya",ind,UNKNOWN,False
0,acm,Arab,"أضاف بكلامه وكَال، ""عدنا هسه فيران عمرها 4 أشهر، وكانت سابقاً مصابة بمرض السكر، بس هسه تعافت منه.",يبدو أن النص الذي قدمته يحتوي على بعض الأخطاء الإملائية والنح,ara,UNKNOWN,False
1,acm,Arab,نبهنا الدكتور إيهود أور -أستاذ الطب بجامعة دالهوزي بمنطقة هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية بالجمعية الكندية لأمراض السكري- إن البحث بعده  بمراحله الأولى.,نبهنا الدكتور إيهود أور، أستاذ الطب بجامعة دالهوزي في منطقة هال,ara,UNKNOWN,False
2,acm,Arab,مثل بعض الخبراء الآخرين هو متشكك من امكانية علاج مرض السكر، مع ملاحظة أنو هذي النتائج ما إلها علاقة بالناس اللي يعانون من السكر من النوع الأول.,يبدو أنك تشير إلى نقاش حول إمكانية علاج مرض السكري، حيث ي,ara,UNKNOWN,False
3,acm,Arab,يوم الاثنين، كَالت سارة دانيوس -السكرتيرة الدائمية للجنة نوبل للأداب بالأكاديمية السويدية- كَدام الناس خلال برنامج على راديو السويد بالسويد، أنو اللجنة ما كدرت توصل مباشرة لبوب ديلان علمود الفوز بجائزة نوبل للأدب سنة 2016- وتخلت عن جهودها  بالوصول إله.,في يوم الاثنين، صرحت سارة دانيوس، الأمينة الدائمة لل,ara,UNKNOWN,False
4,acm,Arab,"كَالت دانيوس "" ما راح نسوي أي شي. أني اتصلت ودزيت رسائل بريد إلكتروني لأقرب المتعاونين وياه وحلصت على ردود كلش لطيفة. هذا  كاببالوقت الحالي طبعاً"".",يبدو أن النص المقدم هو جزء من محادثة أو بيان من شخص يدعى ك,ara,UNKNOWN,False
5,acm,Arab,قبل مدة، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أنو الشركة تأسست لمن ما  كان  جرس بابه مسموع من دكانه اللي صاير بكراج بيته.,يبدو أن النص يلخص فكرة أن جيمي سيمينوف، الرئيس التن,ara,UNKNOWN,False
6,acm,Arab,كَال إنه صنع جرس للباب يشتغل بتقنية الواي فاي.,يبدو أنك تتحدث عن اختراع أو تصميم جرس باب يعمل بتقنية الو,ara,UNKNOWN,False
7,acm,Arab,كَال سيمينوف إن المبيعات ارتفعت بعد ما طلع بالتلفزيون سنة2013 بحلقة برنامج شارك تانك، ورفضت لجنة العرض تمويل الشركة البادئة.,يبدو أنك تشير إلى قصة كال سيمينوف، وهو رائد أعمال شهد نمو,ara,UNKNOWN,False
8,acm,Arab,"بنهاية عام 2017، طلع ""سيمينوف"" على قناة التسوق التلفزيونية كيو بسي.","بالطبع، نسخة أكثر تعقيداً من الجملة هي ""بحلول نهاية عام",ara,UNKNOWN,False
9,acm,Arab,وقامت رينج بتسوية دعوى قضائية وية شركة الأمن المنافسة، شركة آي دي تي.,"بالطبع، نسخة أكثر تعقيداً من الجملة هي ""رينج قد",ara,UNKNOWN,False
10,acm,Arab,بينما الظاهر أنو أكو  لقاح واحد تجريبي يكَدر يقلل من وفيات الإيبولا، بس لحد الآن، ما لكَو أي عقاقير مناسبة لعلاج العدوى الموجودة.,صحيح، حتى الآن، لا يوجد علاج معتمد أو لقاح موافق عليه بشكل رسم,ara,UNKNOWN,False
11,acm,Arab,كان  أكو  خليط واحد من الأجسام المضادة، وهو ZMapp، وتأملوا بي خير بالبداية بهذا المجال، بس  الدراسات الرسمية  شافت أنو الفائدة المترتبة على هذا الخليط كانت أقل من الفوائد الي المطلوبة حتى يقللون عدد الوفيات.,يبدو أنك تتحدث عن تجربة سريرية أجريت على خليط من,ara,UNKNOWN,False
12,acm,Arab,بتجربة PALM، استخدموا عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء خلوه  كأساس وقارنوا العلاجات الثلاثة الأخرى بي.,"في تجربة PALM (التي تقف على ""مقارنة علاجات متعددة لل",ara,UNKNOWN,False
13,acm,Arab,تدعم هيئة الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئة آمنة لجميعِ الرياضيين الي عدنا.,تؤكد هيئة الولايات المتحدة للجمباز (USAG) دعمها الكامل للجنة الأولمبية,ara,UNKNOWN,False
14,acm,Arab,نتفق وية بيان اللجنة الأولمبية الأمريكية بأنو من الممكن تلبية مصالح الرياضيين والأندية، ورياضتهم، بصورة أفضل عن طريق تغيير حقيقي داخل مؤسستنا، بدل سحب التراخيص.,يبدو أنك تتناول بيانًا صادرًا عن اللجنة الأولمبية الأمريكية (USOC,ara,UNKNOWN,False
15,acm,Arab,تدعم هيئة الولايات المتحدة للجمباز تحقيق مستقل ممكن يسلط الضوء على أن وصف الناجين من لاري نصار الإساءة النسبية بشجاعة  كان من الممكن انو ما يكتشوفه لفترة طويلة من دون تبني  أي تغييرات ضرورية ومناسبة.,يبدو أن النص الذي قدمته يتعلق بدعم هيئة الولايات المتحدة للجمباز (US,ara,UNKNOWN,False
16,acm,Arab,هيئة الولايات المتحدة الأمريكية للجمباز واللجنة الأولمبية الأمريكية عدهم  نفس الهدف — وهو أن تصير رياضة الجمباز وغيرها، آمنةً قدر الإمكان للرياضيين  بسبيل تحقيق أحلامهم بالحصول على بيئة آمنة وإيجابية وقوية.,يبدو أن النص يسلط الضوء على هدف مشترك بين هيئة الولايات المتحدة الأمريكية لل,ara,UNKNOWN,False
17,acm,Arab,و بالستينيات من القرن الماضي، تعين بريجنسكي مستشار لجون إف كينيدي  وبعدها تعين  بإدارة ليندون جونسون.,"بالتأكيد، نسخة أكثر تعقيداً من الجملة هي ""في الستين",ara,UNKNOWN,False
18,acm,Arab,وخلال انتخابات عام 1976،  تعين كمستشار لكارتر للسياسة الخارجية، وراها تعين مستشار للأمن القومي من عام 1977 إلى عام 1981 خلفاً لهنري كيسنجر.,"بالتأكيد، نسخة أكثر تعقيداً من الجملة هي ""خلال انتخابات",ara,UNKNOWN,False
19,acm,Arab,خلال  شغله لمنصب مستشار بالأمن القومي، ساعد كارتر دبلوماسياً بإدارة شؤون العالم مثل اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية - الصينية أواخر السبعينيات؛ والثورة الإيرانية اللي أدت إلى أزمة الرهائن الإيرانية عام 1979؛ والاحتلال السوفييتي لأفغانستان عام 1979.,نعم، خلال فترة عمله كمستشار للأمن القومي في إدارة الرئيس جيمي كار,ara,UNKNOWN,False
20,acm,Arab,وحصل الفلم اللي شاركو بي رايان غوسلينغ وإيما ستون، ترشيحات بجميع الفئات الرئيسية.,"بالتأكيد، نسخة أكثر تعقيداً من الجملة هي ""الفيلم،",ara,UNKNOWN,False
21,acm,Arab,حصل جوسلينغ وستون ترشيحات لأفضل ممثل وممثلة على التوالي.,"بالتأكيد، نسخة أكثر تعقيداً من الجملة هي ""حصل ج",ara,UNKNOWN,False
22,acm,Arab,تشمل الترشيحات الباقية جائزة أفضل فلم ومخرجٍ وتصويرٍ سينمائيٍ وتصميم أزياء ومونتاج وموسيقى تصويرية وتصميم إنتاج وتعديل الصوت ودمج الصوت وسيناريو أصلي.,يبدو أن النص يشير إلى الفئات المختلفة للترشيحات في جوائز الأفلام،,ara,UNKNOWN,False
23,acm,Arab,حصلت أغنيتين من الفلم، تجربة أداء (The Fools Who Dream) وCity of Stars، ترشيحات لأفضل أغنية أصلية. حصل استوديو Lionsgate 26 ترشيح — أكثر من أي استوديو ثاني.,"بالتأكيد، نسخة أكثر تعقيداً من الجملة هي ""حصلت",ara,UNKNOWN,False
24,acm,Arab,بوقت متأخر من يوم الأحد، أعلن رئيس الولايات المتحدة دونالد ترامب، ببيان ألقاه عن طريق  السكرتير الصحفي، أنو القوات الأميركية راح تطلع من سوريا.,في وقت متأخر من يوم الأحد، أعلن رئيس الولايات المتحدة دونالد ترامب،,ara,UNKNOWN,False
0,acq,Arab,"وزاد قال، ""معنا الآن عكابر يصل عمرها 4 أشهر، وكانت تعاني بالأول من مرض السكري، ولكنها ماعاد تعانيش منه الآن.",يبدو أن النص الذي قدمته يحتوي على خطأ مطبعي أو لغوي,ara,UNKNOWN,False
1,acq,Arab,نبه الدكتور إيهود أور -أستاذ الطب بجامعة دالهوزي بهاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية بالجمعية الكندية حق السكري- أنو البحث عادوه بأيامه الأوله.,نبه الدكتور إيهود أور، أستاذ الطب بجامعة دالهوزي في بهاليف,ara,UNKNOWN,False
2,acq,Arab,مثل بعض الخبراء الثانيين، هو يشك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذي النتائج ماليش علاقة بالناس اللي فيبهم مرض السكري من النوع الأول.,يبدو أن النص يشير إلى شك خبير في إمكانية علاج مرض الس,ara,UNKNOWN,False
3,acq,Arab,بيوم الاثنين، أعلنت سارة دانيوس -السكرتيرة الدائمة حق لجنة نوبل حق الأدب بالأكاديمية السويدية- أمام الكل ببرنامج إذاعي على راديو السويد بالسويد، أنو اللجنة -اللي ما قدرتش الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لسنة 2016- قتخلت عن جهودها للوصول إليه.,في بيوم الاثنين، أعلنت سارة دانيوس، السكرتيرة الد,ara,UNKNOWN,False
4,acq,Arab,"قال دانيوس ""ما شنقومش الآن بفعل أي شيء. انا قد اتصلت وارسلت رسايل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود حلوة جدًا. وطبعاً هذا يكفي بالوقت الحالي"".",يبدو أن دانيوس يشير إلى أنه في الوقت الحالي، لا ينوي القيام بأ,ara,UNKNOWN,False
5,acq,Arab,بالأول، لاحظ جيمي سيمينوف، الرئيس التنفيذي حق شركة Ring، أنو الشركة بدأت لُما ماكنش جرس الباب حقه مسموع من حقه المتجر بحوش بيته.,يبدو أن النص الذي قدمته يحتوي على بعض الأخطاء النحوية والتركيب,ara,UNKNOWN,False
6,acq,Arab,قال إنه اخترع جرس باب يشتغل عبر الواي فاي.,يبدو أن الشخص الذي ذكرت قد ابتكر جهازًا ذكيًا للباب,ara,UNKNOWN,False
7,acq,Arab,قال سيمينوف إنو المبيعات ارتفعت بعد ظهوره بسنة 2013 بحلقة شارك تانك، لُما رفضت لجنة العرض تمويل الشركة البادئة.,يبدو أن النص يشير إلى أن سيمينوف (Semenov) قد ذكر,ara,UNKNOWN,False
