language,fact_id,subject,relation,question,options,golden_answer,predicted_answer,is_correct
afr,Q374152_P1001_Q37,Seimas,P1001,Seimas is 'n wettige term in _____.,"['Litaue', 'Republiek van Sjina', 'Kuba', 'Indië']",Litaue,Litaue,True
afr,Q207365_P1001_Q22,Samhain,P1001,Samhain is 'n wettige term in _____.,"['Skotland', 'Libië', 'Zimbabwe', 'Botswana']",Skotland,Skotland,True
afr,Q43192_P1001_Q142,Vlag van Frankryk,P1001,Vlag van Frankryk is 'n wettige term in _____.,"['Frankryk', 'Litaue', 'Libië', 'Albanië']",Frankryk,Frankryk,True
afr,Q7241291_P1001_Q924,President van Tanzanië,P1001,President van Tanzanië is 'n wettige term in _____.,"['Libië', 'Jamaika', 'Pakistan', 'Tanzanië']",Tanzanië,Tanzanië,True
afr,Q154797_P1001_Q183,Bundestag,P1001,Bundestag is 'n wettige term in _____.,"['Duitsland', 'Filippyne', 'Turkye', 'Bolivië']",Duitsland,Duitsland,True
afr,Q256608_P1001_Q405,Ruimteverdrag,P1001,Ruimteverdrag is 'n wettige term in _____.,"['Israel', 'Kenia', 'Moskou', 'Maan']",Maan,Moskou,False
afr,Q688230_P1001_Q39,President van die Switserse Konfederasie,P1001,President van die Switserse Konfederasie is 'n wettige term in _____.,"['Hawaii', 'Switserland', 'Israel', 'Somalië']",Switserland,Switserland,True
afr,Q25223_P1001_Q183,President van Duitsland,P1001,President van Duitsland is 'n wettige term in _____.,"['Duitsland', 'Pole', 'Bolivië', 'Viëtnam']",Duitsland,Duitsland,True
afr,Q2395172_P1001_Q55,Romeins-Hollandse reg,P1001,Romeins-Hollandse reg is 'n wettige term in _____.,"['Nederland', 'Filippyne', 'Kanada', 'Albanië']",Nederland,Nederland,True
afr,Q2395172_P1001_Q1030,Romeins-Hollandse reg,P1001,Romeins-Hollandse reg is 'n wettige term in _____.,"['Brasilië', 'Switserland', 'Haïti', 'Namibië']",Namibië,Namibië,True
afr,Q2395172_P1001_Q963,Romeins-Hollandse reg,P1001,Romeins-Hollandse reg is 'n wettige term in _____.,"['Botswana', 'Republiek van Ierland', 'Malawi', 'Filippyne']",Botswana,Malawi,False
afr,Q2395172_P1001_Q954,Romeins-Hollandse reg,P1001,Romeins-Hollandse reg is 'n wettige term in _____.,"['Zimbabwe', 'Argentinië', 'Viëtnam', 'Namibië']",Zimbabwe,Namibië,False
afr,Q2395172_P1001_Q734,Romeins-Hollandse reg,P1001,Romeins-Hollandse reg is 'n wettige term in _____.,"['Bolivië', 'Albanië', 'Pole', 'Guyana']",Guyana,Albanië,False
afr,Q2395172_P1001_Q252,Romeins-Hollandse reg,P1001,Romeins-Hollandse reg is 'n wettige term in _____.,"['Kanada', 'Switserland', 'Brasilië', 'Indonesië']",Indonesië,Indonesië,True
afr,Q12376089_P1001_Q869,Eerste Minister van Thailand,P1001,Eerste Minister van Thailand is 'n wettige term in _____.,"['Filippyne', 'Kanada', 'Guyana', 'Thailand']",Thailand,Thailand,True
afr,Q124020_P1001_Q39,Vlag van Switserland,P1001,Vlag van Switserland is 'n wettige term in _____.,"['Jamaika', 'Libië', 'Somalië', 'Switserland']",Switserland,Switserland,True
afr,Q483659_P1001_Q334,Vlag van Singapoer,P1001,Vlag van Singapoer is 'n wettige term in _____.,"['Switserland', 'Litaue', 'Maan', 'Singapoer']",Singapoer,Singapoer,True
afr,Q16611_P1001_Q159,Vlag van Rusland,P1001,Vlag van Rusland is 'n wettige term in _____.,"['Indonesië', 'Rusland', 'Pole', 'Meksiko']",Rusland,Rusland,True
afr,Q80110_P1001_Q16,Vlag van Kanada,P1001,Vlag van Kanada is 'n wettige term in _____.,"['Maan', 'Thailand', 'Kanada', 'Albanië']",Kanada,Kanada,True
afr,Q219726_P1001_Q782,Vlag van Hawaii,P1001,Vlag van Hawaii is 'n wettige term in _____.,"['Kanada', 'Moskou', 'Hawaii', 'Italië']",Hawaii,Hawaii,True
afr,Q46585_P1001_Q55,Vlag van Nederland,P1001,Vlag van Nederland is 'n wettige term in _____.,"['Nederland', 'Noorweë', 'Tibet', 'Filippyne']",Nederland,Nederland,True
afr,Q172517_P1001_Q766,Vlag van Jamaika,P1001,Vlag van Jamaika is 'n wettige term in _____.,"['Jamaika', 'Maleisië', 'Haïti', 'Skotland']",Jamaika,Jamaika,True
afr,Q130774_P1001_Q414,vlag van Argentinië,P1001,vlag van Argentinië is 'n wettige term in _____.,"['Litaue', 'Argentinië', 'Guyana', 'Haïti']",Argentinië,Argentinië,True
afr,Q500282_P1001_Q1033,President van Nigerië,P1001,President van Nigerië is 'n wettige term in _____.,"['Zimbabwe', 'Switserland', 'Moskou', 'Nigerië']",Nigerië,Nigerië,True
afr,Q83149_P1001_Q20,Vlag van Noorweë,P1001,Vlag van Noorweë is 'n wettige term in _____.,"['Kuba', 'Noorweë', 'Indië', 'Bolivië']",Noorweë,Noorweë,True
afr,Q208233_P1001_Q17,Keiser van Japan,P1001,Keiser van Japan is 'n wettige term in _____.,"['Meksiko', 'Japan', 'Skotland', 'Albanië']",Japan,Japan,True
afr,Q102392_P1001_Q22,Vlag van Skotland,P1001,Vlag van Skotland is 'n wettige term in _____.,"['Japan', 'Namibië', 'Skotland', 'Switserland']",Skotland,Skotland,True
afr,Q81952_P1001_Q43,Vlag van Turkye,P1001,Vlag van Turkye is 'n wettige term in _____.,"['Switserland', 'Turkye', 'Somalië', 'Rusland']",Turkye,Turkye,True
afr,Q168935_P1001_Q833,Vlag van Maleisië,P1001,Vlag van Maleisië is 'n wettige term in _____.,"['Maleisië', 'Australië', 'Brasilië', 'Italië']",Maleisië,Maleisië,True
afr,Q163008_P1001_Q241,Vlag van Kuba,P1001,Vlag van Kuba is 'n wettige term in _____.,"['Botswana', 'Tibet', 'Kuba', 'Argentinië']",Kuba,Kuba,True
afr,Q131204_P1001_Q881,vlag van Viëtnam,P1001,vlag van Viëtnam is 'n wettige term in _____.,"['Indië', 'Viëtnam', 'Filippyne', 'Hawaii']",Viëtnam,Viëtnam,True
afr,Q134874_P1001_Q750,Vlag van Bolivia,P1001,Vlag van Bolivia is 'n wettige term in _____.,"['Pole', 'Duitsland', 'Bolivië', 'Kanada']",Bolivië,Bolivië,True
afr,Q1623403_P1001_Q22,Hogmanay,P1001,Hogmanay is 'n wettige term in _____.,"['Skotland', 'Nederland', 'Filippyne', 'Republiek van Ierland']",Skotland,Skotland,True
afr,Q41673_P1001_Q668,Vlag van Indië,P1001,Vlag van Indië is 'n wettige term in _____.,"['Singapoer', 'Guyana', 'Filippyne', 'Indië']",Indië,Indië,True
afr,Q14784066_P1001_Q114,President van Kenia,P1001,President van Kenia is 'n wettige term in _____.,"['Rusland', 'Kenia', 'Brasilië', 'Bolivië']",Kenia,Kenia,True
afr,Q1285463_P1001_Q142,Prefek,P1001,Prefek is 'n wettige term in _____.,"['Pakistan', 'Pole', 'Duitsland', 'Frankryk']",Frankryk,Duitsland,False
afr,Q159538_P1001_Q1045,Vlag van Somalië,P1001,Vlag van Somalië is 'n wettige term in _____.,"['Meksiko', 'Indonesië', 'Somalië', 'Thailand']",Somalië,Somalië,True
afr,Q11755916_P1001_Q252,President van Indonesië,P1001,President van Indonesië is 'n wettige term in _____.,"['Kanada', 'Libië', 'Indonesië', 'Litaue']",Indonesië,Indonesië,True
afr,Q3339281_P1001_Q649,Regering van Moskou,P1001,Regering van Moskou is 'n wettige term in _____.,"['Frankryk', 'Guyana', 'Pole', 'Moskou']",Moskou,Moskou,True
afr,Q173535_P1001_Q865,Vlag van die Republiek China,P1001,Vlag van die Republiek China is 'n wettige term in _____.,"['Republiek van Sjina', 'Rusland', 'Indië', 'Tanzanië']",Republiek van Sjina,Republiek van Sjina,True
afr,Q81676_P1001_Q408,Vlag van Australië,P1001,Vlag van Australië is 'n wettige term in _____.,"['Australië', 'Brasilië', 'Moskou', 'Argentinië']",Australië,Australië,True
afr,Q102987_P1001_Q790,Vlag van Haïti,P1001,Vlag van Haïti is 'n wettige term in _____.,"['Haïti', 'Kenia', 'Nigerië', 'Noorweë']",Haïti,Haïti,True
afr,Q48409_P1001_Q222,Vlag van Albanië,P1001,Vlag van Albanië is 'n wettige term in _____.,"['Albanië', 'Guyana', 'Israel', 'Noorweë']",Albanië,Albanië,True
afr,Q48160_P1001_Q183,Vlag van Duitsland,P1001,Vlag van Duitsland is 'n wettige term in _____.,"['Tanzanië', 'Duitsland', 'Bolivië', 'Australië']",Duitsland,Duitsland,True
afr,Q34599_P1001_Q1016,Vlag van Libië,P1001,Vlag van Libië is 'n wettige term in _____.,"['Nigerië', 'Libië', 'Australië', 'Guyana']",Libië,Libië,True
afr,Q647198_P1001_Q1030,President van Namibië,P1001,President van Namibië is 'n wettige term in _____.,"['Namibië', 'Indonesië', 'Nigerië', 'Rusland']",Namibië,Namibië,True
afr,Q134627_P1001_Q928,Vlag van die Filippyne,P1001,Vlag van die Filippyne is 'n wettige term in _____.,"['Brasilië', 'Israel', 'Moskou', 'Filippyne']",Filippyne,Filippyne,True
afr,Q37251_P1001_Q183,.de,P1001,.de is 'n wettige term in _____.,"['Pakistan', 'Meksiko', 'Kenia', 'Duitsland']",Duitsland,Duitsland,True
afr,Q15921529_P1001_Q1020,President van Malawi,P1001,President van Malawi is 'n wettige term in _____.,"['Turkye', 'Maleisië', 'Albanië', 'Malawi']",Malawi,Malawi,True
afr,Q128347_P1001_Q843,Vlag van Pakistan,P1001,Vlag van Pakistan is 'n wettige term in _____.,"['Pakistan', 'Noorweë', 'Indonesië', 'Viëtnam']",Pakistan,Pakistan,True
afr,Q731338_P1001_Q17252,Vlag van Tibet,P1001,Vlag van Tibet is 'n wettige term in _____.,"['Moskou', 'Frankryk', 'Singapoer', 'Tibet']",Tibet,Tibet,True
afr,Q674827_P1001_Q183,Strafgesetzbuch,P1001,Strafgesetzbuch is 'n wettige term in _____.,"['Tibet', 'Rusland', 'Albanië', 'Duitsland']",Duitsland,Duitsland,True
afr,Q122462_P1001_Q96,Vlag van Meksiko,P1001,Vlag van Meksiko is 'n wettige term in _____.,"['Pakistan', 'Moskou', 'Botswana', 'Meksiko']",Meksiko,Meksiko,True
afr,Q43175_P1001_Q17,vlag van Japan,P1001,vlag van Japan is 'n wettige term in _____.,"['Pakistan', 'Rusland', 'Japan', 'Albanië']",Japan,Japan,True
afr,Q7251_P101_Q8078,Alan Turing,P101,Alan Turing werk op die gebied van _____.,"['logika', 'biologie', 'Argitektuur', 'ekonomie']",logika,logika,True
afr,Q83041_P101_Q5891,Anaxagoras,P101,Anaxagoras werk op die gebied van _____.,"['taalwetenskappe', 'Boeddhisme', 'filosofie', 'teologie']",filosofie,filosofie,True
afr,Q4119_P101_Q245068,Adam Carolla,P101,Adam Carolla werk op die gebied van _____.,"['Komediant', 'voël', 'Jag', 'wiskunde']",Komediant,Komediant,True
afr,Q2060191_P101_Q1114448,Al Capp,P101,Al Capp werk op die gebied van _____.,"['taalwetenskappe', 'Argitektuur', 'voël', 'spotprenttekenaar']",spotprenttekenaar,spotprenttekenaar,True
afr,Q331853_P101_Q8162,Benjamin Lee Whorf,P101,Benjamin Lee Whorf werk op die gebied van _____.,"['geskiedenis', 'voël', 'filosofie', 'taalwetenskappe']",taalwetenskappe,taalwetenskappe,True
afr,Q37577_P101_Q34178,Johannes Calvyn,P101,Johannes Calvyn werk op die gebied van _____.,"['topologie', 'sosiologie', 'ekonomie', 'teologie']",teologie,teologie,True
afr,Q1454986_P101_Q413,natuurkundige stelsel,P101,natuurkundige stelsel werk op die gebied van _____.,"['fisika', 'geneeskunde', 'topologie', 'Jag']",fisika,fisika,True
afr,Q2621452_P101_Q8162,Charles F. Hockett,P101,Charles F. Hockett werk op die gebied van _____.,"['Fisiologie', 'teologie', 'Meetkunde', 'taalwetenskappe']",taalwetenskappe,taalwetenskappe,True
afr,Q1340213_P101_Q1114448,Garry Trudeau,P101,Garry Trudeau werk op die gebied van _____.,"['mitologie', 'spotprenttekenaar', 'topologie', 'Fisiologie']",spotprenttekenaar,spotprenttekenaar,True
afr,Q41585_P101_Q8087,David Hilbert,P101,David Hilbert werk op die gebied van _____.,"['Wetenskap', 'sosiologie', 'Meetkunde', 'geskiedenis']",Meetkunde,Meetkunde,True
afr,Q1511_P101_Q1344,Richard Wagner,P101,Richard Wagner werk op die gebied van _____.,"['chemie', 'spotprenttekenaar', 'Opera', 'Meetkunde']",Opera,Opera,True
afr,Q8747_P101_Q8087,Euklides,P101,Euklides werk op die gebied van _____.,"['ekologie', 'topologie', 'Meetkunde', 'Argitektuur']",Meetkunde,Meetkunde,True
afr,Q9387_P101_Q21201,Max Weber,P101,Max Weber werk op die gebied van _____.,"['ekologie', 'sosiologie', 'Manga', 'Argitektuur']",sosiologie,sosiologie,True
afr,Q58632_P101_Q9418,Hans Eysenck,P101,Hans Eysenck werk op die gebied van _____.,"['topologie', 'fisika', 'Wetenskap', 'sielkunde']",sielkunde,sielkunde,True
afr,Q183397_P101_Q333,Fred Hoyle,P101,Fred Hoyle werk op die gebied van _____.,"['teologie', 'wiskundige', 'filosofie', 'sterrekunde']",sterrekunde,sterrekunde,True
afr,Q8778_P101_Q514,Galen,P101,Galen werk op die gebied van _____.,"['anatomie', 'Komediant', 'Jag', 'Opera']",anatomie,anatomie,True
afr,Q93128_P101_Q521,William Harvey,P101,William Harvey werk op die gebied van _____.,"['Fisiologie', 'geologie', 'biologie', 'Boeddhisme']",Fisiologie,Fisiologie,True
afr,Q295516_P101_Q9134,Joseph Campbell,P101,Joseph Campbell werk op die gebied van _____.,"['geskiedenis', 'Wetenskap', 'mitologie', 'anatomie']",mitologie,mitologie,True
afr,Q133682_P101_Q23498,Howard Carter,P101,Howard Carter werk op die gebied van _____.,"['ekonomie', 'apartheid', 'argeologie', 'Opera']",argeologie,argeologie,True
afr,Q57106_P101_Q23498,Heinrich Schliemann,P101,Heinrich Schliemann werk op die gebied van _____.,"['filosofie', 'musikant', 'argeologie', 'Fisiologie']",argeologie,argeologie,True
afr,Q935_P101_Q395,Isaac Newton,P101,Isaac Newton werk op die gebied van _____.,"['ekonomie', 'wiskundige', 'wiskunde', 'Komediant']",wiskunde,wiskunde,True
afr,Q16571_P101_Q2329,Justus von Liebig,P101,Justus von Liebig werk op die gebied van _____.,"['Opera', 'apartheid', 'filosofie', 'chemie']",chemie,chemie,True
afr,Q9061_P101_Q21201,Karl Marx,P101,Karl Marx werk op die gebied van _____.,"['sielkunde', 'sosiologie', 'chemie', 'geologie']",sosiologie,sosiologie,True
afr,Q9387_P101_Q8134,Max Weber,P101,Max Weber werk op die gebied van _____.,"['Komediant', 'geskiedenis', 'ekonomie', 'Genetika']",ekonomie,geskiedenis,False
afr,Q8750_P101_Q2329,Michael Faraday,P101,Michael Faraday werk op die gebied van _____.,"['wiskunde', 'fisika', 'Genetika', 'chemie']",chemie,fisika,False
afr,Q44703_P101_Q5113,ornitologie,P101,ornitologie werk op die gebied van _____.,"['voël', 'filosofie', 'biologie', 'logika']",voël,biologie,False
afr,Q214544_P101_Q395,Bonaventura Cavalieri,P101,Bonaventura Cavalieri werk op die gebied van _____.,"['Fotografie', 'Ballet', 'wiskunde', 'biologie']",wiskunde,wiskunde,True
afr,Q307_P101_Q395,Galileo Galilei,P101,Galileo Galilei werk op die gebied van _____.,"['Komediant', 'Fotografie', 'Boeddhisme', 'wiskunde']",wiskunde,wiskunde,True
afr,Q211513_P101_Q41425,Sergei Diaghilef,P101,Sergei Diaghilef werk op die gebied van _____.,"['Ballet', 'geskiedenis', 'filosofie', 'Fisiologie']",Ballet,Ballet,True
afr,Q43027_P101_Q333,Edwin Hubble,P101,Edwin Hubble werk op die gebied van _____.,"['sterrekunde', 'anatomie', 'logika', 'Komediant']",sterrekunde,sterrekunde,True
afr,Q935_P101_Q413,Isaac Newton,P101,Isaac Newton werk op die gebied van _____.,"['Fotografie', 'fisika', 'Genetika', 'geneeskunde']",fisika,fisika,True
afr,Q46857_P101_Q336,wetenskaplike metode,P101,wetenskaplike metode werk op die gebied van _____.,"['Wetenskap', 'wiskunde', 'Ekonoom', 'teologie']",Wetenskap,Wetenskap,True
afr,Q214473_P101_Q11409,Steve Biko,P101,Steve Biko werk op die gebied van _____.,"['filosofie', 'Fotografie', 'logika', 'apartheid']",apartheid,apartheid,True
afr,Q43994_P101_Q1114448,Matt Groening,P101,Matt Groening werk op die gebied van _____.,"['Wetenskap', 'spotprenttekenaar', 'voël', 'argeologie']",spotprenttekenaar,spotprenttekenaar,True
afr,Q1035_P101_Q420,Charles Darwin,P101,Charles Darwin werk op die gebied van _____.,"['biologie', 'anatomie', 'taalwetenskappe', 'wiskunde']",biologie,biologie,True
afr,Q36620_P101_Q333,Tycho Brahe,P101,Tycho Brahe werk op die gebied van _____.,"['wiskunde', 'sterrekunde', 'Wetenskap', 'geneeskunde']",sterrekunde,sterrekunde,True
afr,Q50020_P101_Q5891,John Stuart Mill,P101,John Stuart Mill werk op die gebied van _____.,"['sosiologie', 'Ekonoom', 'Meetkunde', 'filosofie']",filosofie,filosofie,True
afr,Q7251_P101_Q395,Alan Turing,P101,Alan Turing werk op die gebied van _____.,"['voël', 'romanskrywer', 'wiskunde', 'spotprenttekenaar']",wiskunde,wiskunde,True
afr,Q11031_P101_Q21201,Vilfredo Pareto,P101,Vilfredo Pareto werk op die gebied van _____.,"['Fotografie', 'sosiologie', 'Argitektuur', 'Boeddhisme']",sosiologie,sosiologie,True
afr,Q134942_P101_Q6625963,William Somerset Maugham,P101,William Somerset Maugham werk op die gebied van _____.,"['wiskundige', 'Fotografie', 'topologie', 'romanskrywer']",romanskrywer,romanskrywer,True
afr,Q8753_P101_Q413,Enrico Fermi,P101,Enrico Fermi werk op die gebied van _____.,"['ekologie', 'wiskundige', 'sterrekunde', 'fisika']",fisika,fisika,True
afr,Q14279_P101_Q333,Giovanni Domenico Cassini,P101,Giovanni Domenico Cassini werk op die gebied van _____.,"['apartheid', 'romanskrywer', 'Jag', 'sterrekunde']",sterrekunde,sterrekunde,True
afr,Q268024_P101_Q333,Patrick Moore,P101,Patrick Moore werk op die gebied van _____.,"['Ballet', 'sterrekunde', 'Opera', 'Fisiologie']",sterrekunde,sterrekunde,True
afr,Q5879_P101_Q514,Johann Wolfgang von Goethe,P101,Johann Wolfgang von Goethe werk op die gebied van _____.,"['anatomie', 'romanskrywer', 'teologie', 'ekonomie']",anatomie,romanskrywer,False
afr,Q83428_P101_Q11190,Paracelsus,P101,Paracelsus werk op die gebied van _____.,"['Genetika', 'Argitektuur', 'chemie', 'geneeskunde']",geneeskunde,geneeskunde,True
afr,Q8778_P101_Q11190,Galen,P101,Galen werk op die gebied van _____.,"['romanskrywer', 'geneeskunde', 'fisika', 'voël']",geneeskunde,geneeskunde,True
afr,Q208582_P101_Q8274,Akira Toriyama,P101,Akira Toriyama werk op die gebied van _____.,"['fisika', 'musikant', 'ekonomie', 'Manga']",Manga,Manga,True
afr,Q60700_P101_Q23498,Robert Koldewey,P101,Robert Koldewey werk op die gebied van _____.,"['apartheid', 'topologie', 'argeologie', 'Fotografie']",argeologie,argeologie,True
afr,Q23357_P101_Q9418,Abraham Maslow,P101,Abraham Maslow werk op die gebied van _____.,"['Opera', 'geneeskunde', 'sielkunde', 'sosiologie']",sielkunde,sielkunde,True
afr,Q529_P101_Q2329,Louis Pasteur,P101,Louis Pasteur werk op die gebied van _____.,"['voël', 'chemie', 'filosofie', 'ekologie']",chemie,chemie,True
afr,Q131733_P101_Q413,Henry Cavendish,P101,Henry Cavendish werk op die gebied van _____.,"['Ballet', 'Komediant', 'anatomie', 'fisika']",fisika,fisika,True
afr,Q9061_P101_Q8134,Karl Marx,P101,Karl Marx werk op die gebied van _____.,"['filosofie', 'sosiologie', 'ekonomie', 'voël']",ekonomie,ekonomie,True
afr,Q455430_P101_Q23498,Alexander Cunningham,P101,Alexander Cunningham werk op die gebied van _____.,"['romanskrywer', 'Manga', 'sosiologie', 'argeologie']",argeologie,argeologie,True
afr,Q307_P101_Q333,Galileo Galilei,P101,Galileo Galilei werk op die gebied van _____.,"['spotprenttekenaar', 'Ballet', 'sterrekunde', 'topologie']",sterrekunde,sterrekunde,True
afr,Q39599_P101_Q395,Christiaan Huygens,P101,Christiaan Huygens werk op die gebied van _____.,"['geneeskunde', 'Wetenskap', 'Manga', 'wiskunde']",wiskunde,Wetenskap,False
afr,Q171195_P101_Q748,Nagarjuna,P101,Nagarjuna werk op die gebied van _____.,"['geskiedenis', 'biologie', 'fisika', 'Boeddhisme']",Boeddhisme,Boeddhisme,True
afr,Q84233_P101_Q8134,Ludwig von Mises,P101,Ludwig von Mises werk op die gebied van _____.,"['Manga', 'ekonomie', 'sosiologie', 'Boeddhisme']",ekonomie,ekonomie,True
afr,Q9123_P101_Q413,Ernest Rutherford,P101,Ernest Rutherford werk op die gebied van _____.,"['ekonomie', 'fisika', 'sosiologie', 'mitologie']",fisika,fisika,True
afr,Q14277_P101_Q333,William Herschel,P101,William Herschel werk op die gebied van _____.,"['mitologie', 'geskiedenis', 'sterrekunde', 'teologie']",sterrekunde,sterrekunde,True
afr,Q221870_P101_Q9418,Ernest Jones,P101,Ernest Jones werk op die gebied van _____.,"['Komediant', 'Argitektuur', 'topologie', 'sielkunde']",sielkunde,sielkunde,True
afr,Q57246_P101_Q8087,Hermann Minkowski,P101,Hermann Minkowski werk op die gebied van _____.,"['Meetkunde', 'Opera', 'ekonomie', 'chemie']",Meetkunde,Meetkunde,True
afr,Q307_P101_Q413,Galileo Galilei,P101,Galileo Galilei werk op die gebied van _____.,"['Ballet', 'Fisiologie', 'Opera', 'fisika']",fisika,fisika,True
afr,Q180819_P101_Q9418,Lev Vygotsky,P101,Lev Vygotsky werk op die gebied van _____.,"['sielkunde', 'musikant', 'biologie', 'Ballet']",sielkunde,sielkunde,True
afr,Q9061_P101_Q5891,Karl Marx,P101,Karl Marx werk op die gebied van _____.,"['filosofie', 'ekonomie', 'biologie', 'chemie']",filosofie,ekonomie,False
afr,Q9387_P101_Q309,Max Weber,P101,Max Weber werk op die gebied van _____.,"['geskiedenis', 'voël', 'mitologie', 'Boeddhisme']",geskiedenis,geskiedenis,True
afr,Q58068_P101_Q2329,Johann Gmelin,P101,Johann Gmelin werk op die gebied van _____.,"['argeologie', 'chemie', 'fisika', 'Wetenskap']",chemie,chemie,True
afr,Q202631_P101_Q413,John Archibald Wheeler,P101,John Archibald Wheeler werk op die gebied van _____.,"['taalwetenskappe', 'fisika', 'Meetkunde', 'Genetika']",fisika,fisika,True
afr,Q7604_P101_Q413,Leonhard Euler,P101,Leonhard Euler werk op die gebied van _____.,"['geologie', 'fisika', 'logika', 'sterrekunde']",fisika,fisika,True
afr,Q179759_P101_Q395,Al-Kindi,P101,Al-Kindi werk op die gebied van _____.,"['topologie', 'wiskunde', 'biologie', 'ekonomie']",wiskunde,wiskunde,True
afr,Q1349910_P101_Q8162,Samuel Linde,P101,Samuel Linde werk op die gebied van _____.,"['ekonomie', 'filosofie', 'taalwetenskappe', 'argeologie']",taalwetenskappe,taalwetenskappe,True
afr,Q123022_P101_Q413,Felix Bloch,P101,Felix Bloch werk op die gebied van _____.,"['Fisiologie', 'fisika', 'voël', 'argeologie']",fisika,fisika,True
afr,Q471927_P101_Q9418,Frederic Bartlett,P101,Frederic Bartlett werk op die gebied van _____.,"['ekonomie', 'sielkunde', 'Fisiologie', 'sterrekunde']",sielkunde,sielkunde,True
afr,Q328758_P101_Q9418,Pierre Janet,P101,Pierre Janet werk op die gebied van _____.,"['sosiologie', 'sielkunde', 'wiskundige', 'romanskrywer']",sielkunde,sielkunde,True
afr,Q81130_P101_Q333,Anders Celsius,P101,Anders Celsius werk op die gebied van _____.,"['sterrekunde', 'Meetkunde', 'logika', 'Ballet']",sterrekunde,sterrekunde,True
afr,Q486882_P101_Q413,Michio Kaku,P101,Michio Kaku werk op die gebied van _____.,"['Jag', 'teologie', 'taalwetenskappe', 'fisika']",fisika,fisika,True
afr,Q189488_P101_Q521,Willem Einthoven,P101,Willem Einthoven werk op die gebied van _____.,"['apartheid', 'Komediant', 'wiskundige', 'Fisiologie']",Fisiologie,Fisiologie,True
afr,Q20710_P101_Q11190,Jean-Martin Charcot,P101,Jean-Martin Charcot werk op die gebied van _____.,"['Jag', 'voël', 'teologie', 'geneeskunde']",geneeskunde,geneeskunde,True
afr,Q234463_P101_Q420,Sydney Brenner,P101,Sydney Brenner werk op die gebied van _____.,"['chemie', 'taalwetenskappe', 'biologie', 'voël']",biologie,biologie,True
afr,Q234050_P101_Q11190,Erasmus Darwin,P101,Erasmus Darwin werk op die gebied van _____.,"['fisika', 'romanskrywer', 'geneeskunde', 'Argitektuur']",geneeskunde,geneeskunde,True
afr,Q316996_P101_Q11190,Franciscus de le Boë Sylvius,P101,Franciscus de le Boë Sylvius werk op die gebied van _____.,"['Fotografie', 'Wetenskap', 'musikant', 'geneeskunde']",geneeskunde,geneeskunde,True
afr,Q87620_P101_Q395,Luca Pacioli,P101,Luca Pacioli werk op die gebied van _____.,"['ekologie', 'mitologie', 'Meetkunde', 'wiskunde']",wiskunde,wiskunde,True
afr,Q9372_P101_Q309,Sima Qian,P101,Sima Qian werk op die gebied van _____.,"['musikant', 'chemie', 'geskiedenis', 'Fotografie']",geskiedenis,geskiedenis,True
afr,Q34943_P101_Q170790,Ptolemaeus,P101,Ptolemaeus werk op die gebied van _____.,"['Genetika', 'Fisiologie', 'fisika', 'wiskundige']",wiskundige,wiskundige,True
